CharName,PlainText
Juliet,"Gallop apace, you fiery-footed steeds,
Towards Phoebus' lodging: such a wagoner
As Phaethon would whip you to the west,
And bring in cloudy night immediately.
Spread thy close curtain, love-performing night,
That runaway's eyes may wink and Romeo
Leap to these arms, untalk'd of and unseen.
Lovers can see to do their amorous rites
By their own beauties; or, if love be blind,
It best agrees with night. Come, civil night,
Thou sober-suited matron, all in black,
And learn me how to lose a winning match,
Play'd for a pair of stainless maidenhoods:
Hood my unmann'd blood, bating in my cheeks,
With thy black mantle; till strange love, grown bold,
Think true love acted simple modesty.
Come, night; come, Romeo; come, thou day in night;
For thou wilt lie upon the wings of night
Whiter than new snow on a raven's back.
Come, gentle night, come, loving, black-brow'd night,
Give me my Romeo; and, when he shall die,
Take him and cut him out in little stars,
And he will make the face of heaven so fine
That all the world will be in love with night
And pay no worship to the garish sun.
O, I have bought the mansion of a love,
But not possess'd it, and, though I am sold,
Not yet enjoy'd: so tedious is this day
As is the night before some festival
To an impatient child that hath new robes
And may not wear them. O, here comes my nurse,
And she brings news; and every tongue that speaks
But Romeo's name speaks heavenly eloquence.
[Enter Nurse, with cords]
Now, nurse, what news? What hast thou there? the cords
That Romeo bid thee fetch?"
Juliet,"Ay me! what news? why dost thou wring thy hands?"
Juliet,"Can heaven be so envious?"
Juliet,"What devil art thou, that dost torment me thus?
This torture should be roar'd in dismal hell.
Hath Romeo slain himself? say thou but 'I,'
And that bare vowel 'I' shall poison more
Than the death-darting eye of cockatrice:
I am not I, if there be such an I;
Or those eyes shut, that make thee answer 'I.'
If he be slain, say 'I'; or if not, no:
Brief sounds determine of my weal or woe."
Juliet,"O, break, my heart! poor bankrupt, break at once!
To prison, eyes, ne'er look on liberty!
Vile earth, to earth resign; end motion here;
And thou and Romeo press one heavy bier!"
Juliet,"What storm is this that blows so contrary?
Is Romeo slaughter'd, and is Tybalt dead?
My dear-loved cousin, and my dearer lord?
Then, dreadful trumpet, sound the general doom!
For who is living, if those two are gone?"
Juliet,"O God! did Romeo's hand shed Tybalt's blood?"
Juliet,"O serpent heart, hid with a flowering face!
Did ever dragon keep so fair a cave?
Beautiful tyrant! fiend angelical!
Dove-feather'd raven! wolvish-ravening lamb!
Despised substance of divinest show!
Just opposite to what thou justly seem'st,
A damned saint, an honourable villain!
O nature, what hadst thou to do in hell,
When thou didst bower the spirit of a fiend
In moral paradise of such sweet flesh?
Was ever book containing such vile matter
So fairly bound? O that deceit should dwell
In such a gorgeous palace!"
Juliet,"Blister'd be thy tongue
For such a wish! he was not born to shame:
Upon his brow shame is ashamed to sit;
For 'tis a throne where honour may be crown'd
Sole monarch of the universal earth.
O, what a beast was I to chide at him!"
Juliet,"Shall I speak ill of him that is my husband?
Ah, poor my lord, what tongue shall smooth thy name,
When I, thy three-hours wife, have mangled it?
But, wherefore, villain, didst thou kill my cousin?
That villain cousin would have kill'd my husband:
Back, foolish tears, back to your native spring;
Your tributary drops belong to woe,
Which you, mistaking, offer up to joy.
My husband lives, that Tybalt would have slain;
And Tybalt's dead, that would have slain my husband:
All this is comfort; wherefore weep I then?
Some word there was, worser than Tybalt's death,
That murder'd me: I would forget it fain;
But, O, it presses to my memory,
Like damned guilty deeds to sinners' minds:
'Tybalt is dead, and Romeo--banished;'
That 'banished,' that one word 'banished,'
Hath slain ten thousand Tybalts. Tybalt's death
Was woe enough, if it had ended there:
Or, if sour woe delights in fellowship
And needly will be rank'd with other griefs,
Why follow'd not, when she said 'Tybalt's dead,'
Thy father, or thy mother, nay, or both,
Which modern lamentations might have moved?
But with a rear-ward following Tybalt's death,
'Romeo is banished,' to speak that word,
Is father, mother, Tybalt, Romeo, Juliet,
All slain, all dead. 'Romeo is banished!'
There is no end, no limit, measure, bound,
In that word's death; no words can that woe sound.
Where is my father, and my mother, nurse?"
Juliet,"Wash they his wounds with tears: mine shall be spent,
When theirs are dry, for Romeo's banishment.
Take up those cords: poor ropes, you are beguiled,
Both you and I; for Romeo is exiled:
He made you for a highway to my bed;
But I, a maid, die maiden-widowed.
Come, cords, come, nurse; I'll to my wedding-bed;
And death, not Romeo, take my maidenhead!"
Juliet,"O, find him! give this ring to my true knight,
And bid him come to take his last farewell."
Romeo,"Father, what news? what is the prince's doom?
What sorrow craves acquaintance at my hand,
That I yet know not?"
Romeo,"What less than dooms-day is the prince's doom?"
Romeo,"Ha, banishment! be merciful, say 'death;'
For exile hath more terror in his look,
Much more than death: do not say 'banishment.'"
Romeo,"There is no world without Verona walls,
But purgatory, torture, hell itself.
Hence-banished is banish'd from the world,
And world's exile is death: then banished,
Is death mis-term'd: calling death banishment,
Thou cutt'st my head off with a golden axe,
And smilest upon the stroke that murders me."
Romeo,"'Tis torture, and not mercy: heaven is here,
Where Juliet lives; and every cat and dog
And little mouse, every unworthy thing,
Live here in heaven and may look on her;
But Romeo may not: more validity,
More honourable state, more courtship lives
In carrion-flies than Romeo: they my seize
On the white wonder of dear Juliet's hand
And steal immortal blessing from her lips,
Who even in pure and vestal modesty,
Still blush, as thinking their own kisses sin;
But Romeo may not; he is banished:
Flies may do this, but I from this must fly:
They are free men, but I am banished.
And say'st thou yet that exile is not death?
Hadst thou no poison mix'd, no sharp-ground knife,
No sudden mean of death, though ne'er so mean,
But 'banished' to kill me?--'banished'?
O friar, the damned use that word in hell;
Howlings attend it: how hast thou the heart,
Being a divine, a ghostly confessor,
A sin-absolver, and my friend profess'd,
To mangle me with that word 'banished'?"
Romeo,"O, thou wilt speak again of banishment."
Romeo,"Yet 'banished'? Hang up philosophy!
Unless philosophy can make a Juliet,
Displant a town, reverse a prince's doom,
It helps not, it prevails not: talk no more."
Romeo,"How should they, when that wise men have no eyes?"
Romeo,"Thou canst not speak of that thou dost not feel:
Wert thou as young as I, Juliet thy love,
An hour but married, Tybalt murdered,
Doting like me and like me banished,
Then mightst thou speak, then mightst thou tear thy hair,
And fall upon the ground, as I do now,
Taking the measure of an unmade grave."
Romeo,"Not I; unless the breath of heartsick groans,
Mist-like, infold me from the search of eyes."
Romeo,Nurse!
Romeo,"Spakest thou of Juliet? how is it with her?
Doth she not think me an old murderer,
Now I have stain'd the childhood of our joy
With blood removed but little from her own?
Where is she? and how doth she? and what says
My conceal'd lady to our cancell'd love?"
Romeo,"As if that name,
Shot from the deadly level of a gun,
Did murder her; as that name's cursed hand
Murder'd her kinsman. O, tell me, friar, tell me,
In what vile part of this anatomy
Doth my name lodge? tell me, that I may sack
The hateful mansion."
Romeo,"Do so, and bid my sweet prepare to chide."
Romeo,"How well my comfort is revived by this!"
Romeo,"But that a joy past joy calls out on me,
It were a grief, so brief to part with thee: Farewell."
Juliet,"Wilt thou be gone? it is not yet near day:
It was the nightingale, and not the lark,
That pierced the fearful hollow of thine ear;
Nightly she sings on yon pomegranate-tree:
Believe me, love, it was the nightingale."
Romeo,"It was the lark, the herald of the morn,
No nightingale: look, love, what envious streaks
Do lace the severing clouds in yonder east:
Night's candles are burnt out, and jocund day
Stands tiptoe on the misty mountain tops.
I must be gone and live, or stay and die."
Juliet,"Yon light is not day-light, I know it, I:
It is some meteor that the sun exhales,
To be to thee this night a torch-bearer,
And light thee on thy way to Mantua:
Therefore stay yet; thou need'st not to be gone."
Romeo,"Let me be ta'en, let me be put to death;
I am content, so thou wilt have it so.
I'll say yon grey is not the morning's eye,
'Tis but the pale reflex of Cynthia's brow;
Nor that is not the lark, whose notes do beat
The vaulty heaven so high above our heads:
I have more care to stay than will to go:
Come, death, and welcome! Juliet wills it so.
How is't, my soul? let's talk; it is not day."
Juliet,"It is, it is: hie hence, be gone, away!
It is the lark that sings so out of tune,
Straining harsh discords and unpleasing sharps.
Some say the lark makes sweet division;
This doth not so, for she divideth us:
Some say the lark and loathed toad change eyes,
O, now I would they had changed voices too!
Since arm from arm that voice doth us affray,
Hunting thee hence with hunt's-up to the day,
O, now be gone; more light and light it grows."
Romeo,"More light and light; more dark and dark our woes!"
Juliet,Nurse?
Juliet,"Then, window, let day in, and let life out."
Romeo,"Farewell, farewell! one kiss, and I'll descend."
Juliet,"Art thou gone so? love, lord, ay, husband, friend!
I must hear from thee every day in the hour,
For in a minute there are many days:
O, by this count I shall be much in years
Ere I again behold my Romeo!"
Romeo,"Farewell!
I will omit no opportunity
That may convey my greetings, love, to thee."
Juliet,"O think'st thou we shall ever meet again?"
Romeo,"I doubt it not; and all these woes shall serve
For sweet discourses in our time to come."
Juliet,"O God, I have an ill-divining soul!
Methinks I see thee, now thou art below,
As one dead in the bottom of a tomb:
Either my eyesight fails, or thou look'st pale."
Romeo,"And trust me, love, in my eye so do you:
Dry sorrow drinks our blood. Adieu, adieu!"
Juliet,"O fortune, fortune! all men call thee fickle:
If thou art fickle, what dost thou with him.
That is renown'd for faith? Be fickle, fortune;
For then, I hope, thou wilt not keep him long,
But send him back."
Juliet,"Who is't that calls? is it my lady mother?
Is she not down so late, or up so early?
What unaccustom'd cause procures her hither?"
Juliet,"Madam, I am not well."
Juliet,"Yet let me weep for such a feeling loss."
Juliet,"Feeling so the loss,
Cannot choose but ever weep the friend."
Juliet,"What villain madam?"
Juliet,"[Aside] Villain and he be many miles asunder.--
God Pardon him! I do, with all my heart;
And yet no man like he doth grieve my heart."
Juliet,"Ay, madam, from the reach of these my hands:
Would none but I might venge my cousin's death!"
Juliet,"Indeed, I never shall be satisfied
With Romeo, till I behold him--dead--
Is my poor heart for a kinsman vex'd.
Madam, if you could find out but a man
To bear a poison, I would temper it;
That Romeo should, upon receipt thereof,
Soon sleep in quiet. O, how my heart abhors
To hear him named, and cannot come to him.
To wreak the love I bore my cousin
Upon his body that slaughter'd him!"
Juliet,"And joy comes well in such a needy time:
What are they, I beseech your ladyship?"
Juliet,"Madam, in happy time, what day is that?"
Juliet,"Now, by Saint Peter's Church and Peter too,
He shall not make me there a joyful bride.
I wonder at this haste; that I must wed
Ere he, that should be husband, comes to woo.
I pray you, tell my lord and father, madam,
I will not marry yet; and, when I do, I swear,
It shall be Romeo, whom you know I hate,
Rather than Paris. These are news indeed!"
Juliet,"Not proud, you have; but thankful, that you have:
Proud can I never be of what I hate;
But thankful even for hate, that is meant love."
Juliet,"Good father, I beseech you on my knees,
Hear me with patience but to speak a word."
Juliet,"Is there no pity sitting in the clouds,
That sees into the bottom of my grief?
O, sweet my mother, cast me not away!
Delay this marriage for a month, a week;
Or, if you do not, make the bridal bed
In that dim monument where Tybalt lies."
Juliet,"O God!--O nurse, how shall this be prevented?
My husband is on earth, my faith in heaven;
How shall that faith return again to earth,
Unless that husband send it me from heaven
By leaving earth? comfort me, counsel me.
Alack, alack, that heaven should practise stratagems
Upon so soft a subject as myself!
What say'st thou? hast thou not a word of joy?
Some comfort, nurse."
Juliet,"Speakest thou from thy heart?"
Juliet,Amen!
Juliet,"Well, thou hast comforted me marvellous much.
Go in: and tell my lady I am gone,
Having displeased my father, to Laurence' cell,
To make confession and to be absolved."
Juliet,"Ancient damnation! O most wicked fiend!
Is it more sin to wish me thus forsworn,
Or to dispraise my lord with that same tongue
Which she hath praised him with above compare
So many thousand times? Go, counsellor;
Thou and my bosom henceforth shall be twain.
I'll to the friar, to know his remedy:
If all else fail, myself have power to die."
Juliet,"That may be, sir, when I may be a wife."
Juliet,"What must be shall be."
Juliet,"To answer that, I should confess to you."
Juliet,"I will confess to you that I love him."
Juliet,"If I do so, it will be of more price,
Being spoke behind your back, than to your face."
Juliet,"The tears have got small victory by that;
For it was bad enough before their spite."
Juliet,"That is no slander, sir, which is a truth;
And what I spake, I spake it to my face."
Juliet,"It may be so, for it is not mine own.
Are you at leisure, holy father, now;
Or shall I come to you at evening mass?"
Juliet,"O shut the door! and when thou hast done so,
Come weep with me; past hope, past cure, past help!"
Juliet,"Tell me not, friar, that thou hear'st of this,
Unless thou tell me how I may prevent it:
If, in thy wisdom, thou canst give no help,
Do thou but call my resolution wise,
And with this knife I'll help it presently.
God join'd my heart and Romeo's, thou our hands;
And ere this hand, by thee to Romeo seal'd,
Shall be the label to another deed,
Or my true heart with treacherous revolt
Turn to another, this shall slay them both:
Therefore, out of thy long-experienced time,
Give me some present counsel, or, behold,
'Twixt my extremes and me this bloody knife
Shall play the umpire, arbitrating that
Which the commission of thy years and art
Could to no issue of true honour bring.
Be not so long to speak; I long to die,
If what thou speak'st speak not of remedy."
Juliet,"O, bid me leap, rather than marry Paris,
From off the battlements of yonder tower;
Or walk in thievish ways; or bid me lurk
Where serpents are; chain me with roaring bears;
Or shut me nightly in a charnel-house,
O'er-cover'd quite with dead men's rattling bones,
With reeky shanks and yellow chapless skulls;
Or bid me go into a new-made grave
And hide me with a dead man in his shroud;
Things that, to hear them told, have made me tremble;
And I will do it without fear or doubt,
To live an unstain'd wife to my sweet love."
Juliet,"Give me, give me! O, tell not me of fear!"
Juliet,"Love give me strength! and strength shall help afford.
Farewell, dear father!"
Juliet,"Where I have learn'd me to repent the sin
Of disobedient opposition
To you and your behests, and am enjoin'd
By holy Laurence to fall prostrate here,
And beg your pardon: pardon, I beseech you!
Henceforward I am ever ruled by you."
Juliet,"I met the youthful lord at Laurence' cell;
And gave him what becomed love I might,
Not step o'er the bounds of modesty."
Juliet,"Nurse, will you go with me into my closet,
To help me sort such needful ornaments
As you think fit to furnish me to-morrow?"
Juliet,"Ay, those attires are best: but, gentle nurse,
I pray thee, leave me to myself to-night,
For I have need of many orisons
To move the heavens to smile upon my state,
Which, well thou know'st, is cross, and full of sin."
Juliet,"No, madam; we have cull'd such necessaries
As are behoveful for our state to-morrow:
So please you, let me now be left alone,
And let the nurse this night sit up with you;
For, I am sure, you have your hands full all,
In this so sudden business."
Juliet,"Farewell! God knows when we shall meet again.
I have a faint cold fear thrills through my veins,
That almost freezes up the heat of life:
I'll call them back again to comfort me:
Nurse! What should she do here?
My dismal scene I needs must act alone.
Come, vial.
What if this mixture do not work at all?
Shall I be married then to-morrow morning?
No, no: this shall forbid it: lie thou there.
[Laying down her dagger]
What if it be a poison, which the friar
Subtly hath minister'd to have me dead,
Lest in this marriage he should be dishonour'd,
Because he married me before to Romeo?
I fear it is: and yet, methinks, it should not,
For he hath still been tried a holy man.
How if, when I am laid into the tomb,
I wake before the time that Romeo
Come to redeem me? there's a fearful point!
Shall I not, then, be stifled in the vault,
To whose foul mouth no healthsome air breathes in,
And there die strangled ere my Romeo comes?
Or, if I live, is it not very like,
The horrible conceit of death and night,
Together with the terror of the place,--
As in a vault, an ancient receptacle,
Where, for these many hundred years, the bones
Of all my buried ancestors are packed:
Where bloody Tybalt, yet but green in earth,
Lies festering in his shroud; where, as they say,
At some hours in the night spirits resort;--
Alack, alack, is it not like that I,
So early waking, what with loathsome smells,
And shrieks like mandrakes' torn out of the earth,
That living mortals, hearing them, run mad:--
O, if I wake, shall I not be distraught,
Environed with all these hideous fears?
And madly play with my forefather's joints?
And pluck the mangled Tybalt from his shroud?
And, in this rage, with some great kinsman's bone,
As with a club, dash out my desperate brains?
O, look! methinks I see my cousin's ghost
Seeking out Romeo, that did spit his body
Upon a rapier's point: stay, Tybalt, stay!
Romeo, I come! this do I drink to thee."
Romeo,"If I may trust the flattering truth of sleep,
My dreams presage some joyful news at hand:
My bosom's lord sits lightly in his throne;
And all this day an unaccustom'd spirit
Lifts me above the ground with cheerful thoughts.
I dreamt my lady came and found me dead--
Strange dream, that gives a dead man leave
to think!--
And breathed such life with kisses in my lips,
That I revived, and was an emperor.
Ah me! how sweet is love itself possess'd,
When but love's shadows are so rich in joy!
[Enter BALTHASAR, booted]
News from Verona!--How now, Balthasar!
Dost thou not bring me letters from the friar?
How doth my lady? Is my father well?
How fares my Juliet? that I ask again;
For nothing can be ill, if she be well."
Romeo,"Is it even so? then I defy you, stars!
Thou know'st my lodging: get me ink and paper,
And hire post-horses; I will hence to-night."
Romeo,"Tush, thou art deceived:
Leave me, and do the thing I bid thee do.
Hast thou no letters to me from the friar?"
Romeo,"No matter: get thee gone,
And hire those horses; I'll be with thee straight.
[Exit BALTHASAR]
Well, Juliet, I will lie with thee to-night.
Let's see for means: O mischief, thou art swift
To enter in the thoughts of desperate men!
I do remember an apothecary,--
And hereabouts he dwells,--which late I noted
In tatter'd weeds, with overwhelming brows,
Culling of simples; meagre were his looks,
Sharp misery had worn him to the bones:
And in his needy shop a tortoise hung,
An alligator stuff'd, and other skins
Of ill-shaped fishes; and about his shelves
A beggarly account of empty boxes,
Green earthen pots, bladders and musty seeds,
Remnants of packthread and old cakes of roses,
Were thinly scatter'd, to make up a show.
Noting this penury, to myself I said
'An if a man did need a poison now,
Whose sale is present death in Mantua,
Here lives a caitiff wretch would sell it him.'
O, this same thought did but forerun my need;
And this same needy man must sell it me.
As I remember, this should be the house.
Being holiday, the beggar's shop is shut.
What, ho! apothecary!"
Romeo,"Come hither, man. I see that thou art poor:
Hold, there is forty ducats: let me have
A dram of poison, such soon-speeding gear
As will disperse itself through all the veins
That the life-weary taker may fall dead
And that the trunk may be discharged of breath
As violently as hasty powder fired
Doth hurry from the fatal cannon's womb."
Romeo,"Art thou so bare and full of wretchedness,
And fear'st to die? famine is in thy cheeks,
Need and oppression starveth in thine eyes,
Contempt and beggary hangs upon thy back;
The world is not thy friend nor the world's law;
The world affords no law to make thee rich;
Then be not poor, but break it, and take this."
Romeo,"I pay thy poverty, and not thy will."
Romeo,"There is thy gold, worse poison to men's souls,
Doing more murders in this loathsome world,
Than these poor compounds that thou mayst not sell.
I sell thee poison; thou hast sold me none.
Farewell: buy food, and get thyself in flesh.
Come, cordial and not poison, go with me
To Juliet's grave; for there must I use thee."
Romeo,"Give me that mattock and the wrenching iron.
Hold, take this letter; early in the morning
See thou deliver it to my lord and father.
Give me the light: upon thy life, I charge thee,
Whate'er thou hear'st or seest, stand all aloof,
And do not interrupt me in my course.
Why I descend into this bed of death,
Is partly to behold my lady's face;
But chiefly to take thence from her dead finger
A precious ring, a ring that I must use
In dear employment: therefore hence, be gone:
But if thou, jealous, dost return to pry
In what I further shall intend to do,
By heaven, I will tear thee joint by joint
And strew this hungry churchyard with thy limbs:
The time and my intents are savage-wild,
More fierce and more inexorable far
Than empty tigers or the roaring sea."
Romeo,"So shalt thou show me friendship. Take thou that:
Live, and be prosperous: and farewell, good fellow."
Romeo,"Thou detestable maw, thou womb of death,
Gorged with the dearest morsel of the earth,
Thus I enforce thy rotten jaws to open,
And, in despite, I'll cram thee with more food!"
Romeo,"I must indeed; and therefore came I hither.
Good gentle youth, tempt not a desperate man;
Fly hence, and leave me: think upon these gone;
Let them affright thee. I beseech thee, youth,
Put not another sin upon my head,
By urging me to fury: O, be gone!
By heaven, I love thee better than myself;
For I come hither arm'd against myself:
Stay not, be gone; live, and hereafter say,
A madman's mercy bade thee run away."
Romeo,"Wilt thou provoke me? then have at thee, boy!"
Romeo,"In faith, I will. Let me peruse this face.
Mercutio's kinsman, noble County Paris!
What said my man, when my betossed soul
Did not attend him as we rode? I think
He told me Paris should have married Juliet:
Said he not so? or did I dream it so?
Or am I mad, hearing him talk of Juliet,
To think it was so? O, give me thy hand,
One writ with me in sour misfortune's book!
I'll bury thee in a triumphant grave;
A grave? O no! a lantern, slaughter'd youth,
For here lies Juliet, and her beauty makes
This vault a feasting presence full of light.
Death, lie thou there, by a dead man interr'd.
[Laying PARIS in the tomb]
How oft when men are at the point of death
Have they been merry! which their keepers call
A lightning before death: O, how may I
Call this a lightning? O my love! my wife!
Death, that hath suck'd the honey of thy breath,
Hath had no power yet upon thy beauty:
Thou art not conquer'd; beauty's ensign yet
Is crimson in thy lips and in thy cheeks,
And death's pale flag is not advanced there.
Tybalt, liest thou there in thy bloody sheet?
O, what more favour can I do to thee,
Than with that hand that cut thy youth in twain
To sunder his that was thine enemy?
Forgive me, cousin! Ah, dear Juliet,
Why art thou yet so fair? shall I believe
That unsubstantial death is amorous,
And that the lean abhorred monster keeps
Thee here in dark to be his paramour?
For fear of that, I still will stay with thee;
And never from this palace of dim night
Depart again: here, here will I remain
With worms that are thy chamber-maids; O, here
Will I set up my everlasting rest,
And shake the yoke of inauspicious stars
From this world-wearied flesh. Eyes, look your last!
Arms, take your last embrace! and, lips, O you
The doors of breath, seal with a righteous kiss
A dateless bargain to engrossing death!
Come, bitter conduct, come, unsavoury guide!
Thou desperate pilot, now at once run on
The dashing rocks thy sea-sick weary bark!
Here's to my love!
[Drinks]
O true apothecary!
Thy drugs are quick. Thus with a kiss I die.
[Dies]
[Enter, at the other end of the churchyard, FRIAR]
LAURENCE, with a lantern, crow, and spade]"
Juliet,"O comfortable friar! where is my lord?
I do remember well where I should be,
And there I am. Where is my Romeo?"
Juliet,"Go, get thee hence, for I will not away.
[Exit FRIAR LAURENCE]
What's here? a cup, closed in my true love's hand?
Poison, I see, hath been his timeless end:
O churl! drunk all, and left no friendly drop
To help me after? I will kiss thy lips;
Haply some poison yet doth hang on them,
To make die with a restorative.
[Kisses him]
Thy lips are warm."
Juliet,"Yea, noise? then I'll be brief. O happy dagger!
[Snatching ROMEO's dagger]
This is thy sheath;
[Stabs herself]
there rust, and let me die."
